Job Title,Company Name,Exp,Number of opening,Location,Link
Cloud Data Engineer,Arminus,5 to 8 ,1,Kolkata,https://www.shine.com/jobs/cloud-data-engineer-permanent/arminus/12514829
Talend Data Engineer,Diverse Lynx,3 to 9 ,1,"Bangalore+2Chennai, Hyderabad",https://www.shine.com/jobs/talend-data-engineer-permanent/diverse-lynx/12517338
Applied AI ML Lead - Lead Data Scientist,JPMorgan,5 to 10 ,1,Bangalore,https://www.shine.com/jobs/applied-ai-ml-lead-lead-data-scientist-permanent/jpmorgan/12512804
Data Scientist Internship at Mumbai,MAXGEN TECHNOLOGIES PRIVATE LIMITED,"0 to 1 YrNashik+7Kalyan, Kharghar, Ratnagiri, Navi Mumbai, Mumbai City, Dombivali, Panvel",9,Not Defined,https://www.shine.com/jobs/data-scientist-internship-at-mumbai-internship/maxgen-technologies-private-limited/12512701
Opportunity for Data Scientist - R/SQL/Python,Huquo,3 to 5 ,1,Hyderabad,https://www.shine.com/jobs/opportunity-for-data-scientist-rsqlpython-permanent/huquo/12503048
Client Engineering- Data Scientist,IBM India Pvt. Limited,3 to 5 ,1,Mumbai City,https://www.shine.com/jobs/client-engineering-data-scientist-permanent/ibm-india-pvt-limited/12513441
Python Developer,Tejas Systems,1 to 5 ,1,Bangalore,https://www.shine.com/jobs/python-developer-permanent/tejas-systems/12511431
Senior Azure Data Engineer,VEGA Intellisoft Private Limited,7 to 10 ,1,"Bangalore+2Chennai, Hyderabad",https://www.shine.com/jobs/senior-azure-data-engineer-permanent/vega-intellisoft-private-limited/12516311
Needy plz join for Senior Consultant/Manager - Data Sci ...,Pylon Management Consulting,6 to 11 ,1,Bangalore,https://www.shine.com/jobs/needy-plz-join-for-senior-consultantmanager-data-scientist-permanent/pylon-management-consulting/12511856
Legal Data Engineer,Citibank India.,2 to 5 ,1,Mumbai City,https://www.shine.com/jobs/legal-data-engineer-permanent/citibank-india/12515520
Data Scientist,Citibank India.,3 to 6 ,1,Hyderabad,https://www.shine.com/jobs/data-scientist-permanent/citibank-india/12501076
Recruiting for GCP Data Scientist - Manager,PricewaterhouseCoopers (PWC),8 to 10 ,1,Bangalore,https://www.shine.com/jobs/recruiting-for-gcp-data-scientist-manager-permanent/pricewaterhousecoopers-pwc/12502368
"Req, Python Developer - Chennai",Busisol Sourcing India Pvt Ltd,2 to 8 ,1,Chennai,https://www.shine.com/jobs/req-python-developer-chennai-permanent/busisol-sourcing-india-pvt-ltd/12520327
Data Analyst - IT (4-6 yrs),ARA Resources Pvt Ltd,4 to 6 ,1,Delhi,https://www.shine.com/jobs/data-analyst-it-4-6-yrs-permanent/ara-resources-pvt-ltd/12518225
Python Developer,Evon Technologies,5 to 8 ,1,Dehradun,https://www.shine.com/jobs/python-developer-permanent/evon-technologies/12511866
Data Engineer - ETL/Python/Big Data,Huquo,3 to 7 ,1,Bangalore+1Chennai,https://www.shine.com/jobs/data-engineer-etlpythonbig-data-permanent/huquo/12502049
Data Analyst,Ara Resources Private Limited,4 to 6 ,1,Delhi,https://www.shine.com/jobs/data-analyst-permanent/ara-resources-private-limited/12502213
Lead Data Analyst - MNC - Mumbai,PES HR Services,10 to 20 ,5,Kolkata+1Mumbai City,https://www.shine.com/jobs/lead-data-analyst-mnc-mumbai-permanent/pes-hr-services/12505935
Sr. Data Analyst - MNC - Mumbai,PES HR Services,4 to 9 ,5,Kolkata+1Mumbai City,https://www.shine.com/jobs/sr-data-analyst-mnc-mumbai-permanent/pes-hr-services/12505933
Data Engineer - Python/Scala,Huquo,4 to 8 ,1,Kolkata,https://www.shine.com/jobs/data-engineer-pythonscala-permanent/huquo/12498725
Huge Opportunity for Data Analyst I,Ranhill WorleyParsons,2 to 3 ,1,Navi Mumbai+1Mumbai City,https://www.shine.com/jobs/huge-opportunity-for-data-analyst-i-permanent/ranhill-worleyparsons/12510973
Data Engineer/Senior Data Engineer/Data Scientist,Acuity Knowledge Partners,2 to 4 ,1,Bangalore,https://www.shine.com/jobs/data-engineersenior-data-engineerdata-scientist-permanent/acuity-knowledge-partners/12470005
Global Accounts Receivable Data Analytics (GARDA),Amazon,2 to 7 ,1,Hyderabad,https://www.shine.com/jobs/global-accounts-receivable-data-analytics-garda-permanent/amazon/12515440
Data Engineer Python- PySpark & pandas,TeamPlus Staffing Solution Pvt.ltd.,3 to 7 ,1,Hyderabad+1Gurugram,https://www.shine.com/jobs/data-engineer-python-pyspark-pandas-permanent/teamplus-staffing-solution-pvtltd/12502783
Data Analyst,Diverse Lynx,5 to 7 ,1,Bangalore,https://www.shine.com/jobs/data-analyst-permanent/diverse-lynx/12517061
Data Analyst,Target Corporation India Pvt Ltd,2 to 3 ,1,Chennai,https://www.shine.com/jobs/data-analyst-permanent/target-corporation-india-pvt-ltd/12507723
Galytix Analytics - Data Analyst,Galytix Analytics Pvt. Ltd.,1 to 2 ,1,Gurugram,https://www.shine.com/jobs/galytix-analytics-data-analyst-permanent/galytix-analytics-pvt-ltd/12515628
Python Developer,Quastech.,2 to 3 ,2,Mumbai City,https://www.shine.com/jobs/python-developer-permanent/quastech/12514909
Data Engineer I - AWS,JPMorgan,2 to 5 ,1,Bangalore,https://www.shine.com/jobs/data-engineer-i-aws-permanent/jpmorgan/12512830
 for Data Scientist-Reputed Artificial Intelligence,Seven Consultancy,3 to 6 ,1,Hyderabad,https://www.shine.com/jobs/jobs-for-data-scientist-reputed-artificial-intelligence-permanent/seven-consultancy/12493998
Data Analyst  In Singapore-Overseas Only,Cloud Visa Immigration LLP,2 to 7 ,70,Singapore,https://www.shine.com/jobs/data-analyst-job-in-singapore-overseas-only-permanent/cloud-visa-immigration-llp/12506322
"Assistant Vice President, Kubernetes Data Engineer, Ent ...",DBS Asia Hub 2,3 to 5 ,1,Hyderabad,https://www.shine.com/jobs/assistant-vice-president-kubernetes-data-engineer-enterprise-data-permanent/dbs-asia-hub-2/12517336
Java/C/C++/Mainframe/Python - Developer,VEGA Intellisoft Private Limited,4 to 6 ,1,Chennai,https://www.shine.com/jobs/javaccmainframepython-developer-permanent/vega-intellisoft-private-limited/12517642
SAS Analyst,Cyient Limited,2 to 5 ,1,Bangalore,https://www.shine.com/jobs/sas-analyst-permanent/cyient-limited/12515325
Recruiting for Sr Associate - Data Engineer - D&AT IFS  ...,PricewaterhouseCoopers (PWC),3 to 5 ,1,Bangalore,https://www.shine.com/jobs/recruiting-for-sr-associate-data-engineer-dat-ifs-second-shifts-permanent/pricewaterhousecoopers-pwc/12502370
Data Analyst,Tiwana Oil Mills Pvt. Ltd,1 to 3 ,5,Fatehgarh Sahib,https://www.shine.com/jobs/data-analyst-permanent/tiwana-oil-mills-pvt-ltd/12514846
Req. now for Officer-Big Data Developer,Citibank India.,4 to 6 ,1,Pune,https://www.shine.com/jobs/req-now-for-officer-big-data-developer-permanent/citibank-india/12517497
"Senior Associate, Data Engineer, Enterprise Data",DBS Asia Hub 2,6 to 10 ,1,Hyderabad,https://www.shine.com/jobs/senior-associate-data-engineer-enterprise-data-permanent/dbs-asia-hub-2/12512790
Data Analyst- Card Acquisition,JPMorgan,2 to 4 ,1,Bangalore,https://www.shine.com/jobs/data-analyst-card-acquisition-permanent/jpmorgan/12516870
Requirement for Data Developer / Architect (Data Engine ...,NTT Global Delivery Services Limite...,5 to 8 ,1,Bangalore,https://www.shine.com/jobs/requirement-for-data-developer-architect-data-engineer-permanent/ntt-global-delivery-services-limited/12496415
Quality Data Analyst,Schneider Electric,5 to 10 ,1,Bangalore,https://www.shine.com/jobs/quality-data-analyst-permanent/schneider-electric/12514830
Data Scientist (Manager I) Fraud & Credit Risk,Fiserv India Pvt. Ltd.,10 to 12 ,1,Thane,https://www.shine.com/jobs/data-scientist-manager-i-fraud-credit-risk-permanent/fiserv-india-pvt-ltd/12500234
Senior Data Engineer,Schneider Electric,3 to 11 ,1,Bangalore,https://www.shine.com/jobs/senior-data-engineer-permanent/schneider-electric/12515864
Data Analyst Trainer opening - Thane,Quastech.,1 to 3 ,1,"Navi Mumbai+2Thane, Mumbai City",https://www.shine.com/jobs/data-analyst-trainer-opening-thane-permanent/quastech/12508584
TechM97510 - Azure Data Engineer ( Gen1 ),Arminus,2 to 7 ,1,Bangalore,https://www.shine.com/jobs/techm-azure-data-engineer-gen1-permanent/arminus/12512342
Capgemini is pleased to invite you for the role of GCP  ...,CAPGEMINI TECHNOLOGY SERVICES INDIA...,4 to 9 ,10,"Bangalore+8Noida, Chennai, Hyderabad, Gurugram, Kolkata, Pune, Mumbai City, Delhi",https://www.shine.com/jobs/capgemini-is-pleased-to-invite-you-for-the-role-of-gcp-data-engineer-permanent/capgemini-technology-services-india-limited/12513295
(Junior) Data Scientist Financial Planning and Reportin ...,Linde plc,3 to 6 ,1,Kolkata,https://www.shine.com/jobs/junior-data-scientist-financial-planning-and-reporting-permanent/linde-plc/12503040
Senior Python Developer,Angel and Genie,5 to 8 ,1,All India,https://www.shine.com/jobs/senior-python-developer-work-from-home/angel-and-genie/12504952
Data  Analyst,Gaurangi Consultants Hiring For Dat...,0 ,19,"Noida+2Gurugram, Delhi",https://www.shine.com/jobs/data-analyst-permanent/gaurangi-consultants/12502830
Data Analyst/Data Science/ Power BI Trainer,BAANYAN SOFTTECH SERVICES INDIA PRI...,6 to 11 ,1,Hyderabad,https://www.shine.com/jobs/data-analystdata-science-power-bi-trainer-permanent/baanyan-softtech-services-india-private-limited/12487504
Data Engineer II - Big Data,JPMorgan,3 to 5 ,1,Mumbai City,https://www.shine.com/jobs/data-engineer-ii-big-data-permanent/jpmorgan/12514299
Sr. Python Developer,EDU ANGELS INDIA PRIVATE LIMITED,5 to 10 ,4,Mumbai City,https://www.shine.com/jobs/sr-python-developer-permanent/edu-angels-india-private-limited/12500702
Reference Data Analyst,JPMorgan,3 to 5 ,1,Bangalore,https://www.shine.com/jobs/reference-data-analyst-permanent/jpmorgan/12515428
Senior Data Scientist,MMSH Clinical Research Pvt Ltd,3 to 6 ,1,Hyderabad,https://www.shine.com/jobs/senior-data-scientist-permanent/mmsh-clinical-research-pvt-ltd/12502623
Data Engineer,Rosemallow Technologies Pvt. Ltd.,3 to 5 ,2,"Bangalore+5Chennai, Hyderabad, Gurugram, Kolkata, Delhi",https://www.shine.com/jobs/data-engineer-work-from-home/rosemallow-technologies-pvt-ltd/12506809
Req.  For  Data Analyst-Reputed Data Analytics Industry,Seven Consultancy,3 to 5 ,1,Hyderabad,https://www.shine.com/jobs/req-jobs-for-data-analyst-reputed-data-analytics-industry-permanent/seven-consultancy/12493054
Apply for Senior AI Data Scientist-Reputed IT Industry,Seven Consultancy,5 to 10 ,1,Mumbai City,https://www.shine.com/jobs/apply-for-senior-ai-data-scientist-reputed-it-industry-permanent/seven-consultancy/12500587
Req.  For- Data Scientist-Reputed IT Industry-Chennai,Seven Consultancy,3 to 4 ,1,Chennai,https://www.shine.com/jobs/req-jobs-for-data-scientist-reputed-it-industry-chennai-permanent/seven-consultancy/12498785
We have opening AI Data Scientist,Seven Consultancy,8 to 12 ,1,Hyderabad,https://www.shine.com/jobs/we-have-opening-ai-data-scientist-permanent/seven-consultancy/12493472
 For Senior Data Scientist-Reputed IT Industry,Seven Consultancy,4 to 8 ,1,Bangalore,https://www.shine.com/jobs/jobs-for-senior-data-scientist-reputed-it-industry-permanent/seven-consultancy/12499339
 for Senior AI Data Scientist,Seven Consultancy,4 to 8 ,1,Bangalore,https://www.shine.com/jobs/jobs-for-senior-ai-data-scientist-permanent/seven-consultancy/12500843
Data Analyst,GT Solusn,5 to 10 ,10,Jaipur,https://www.shine.com/jobs/data-analyst-permanent/gt-solusn/12508095
 For Senior Data Scientist-Reputed IT Industry,Seven Consultancy,4 to 8 ,1,Delhi,https://www.shine.com/jobs/jobs-for-senior-data-scientist-reputed-it-industry-permanent/seven-consultancy/12498116
Req. now for Data Engineer,Arminus,3 to 5 ,1,Gurugram,https://www.shine.com/jobs/req-now-for-data-engineer-permanent/arminus/12517296
Client Data Analyst,JPMorgan,2 to 5 ,1,Hyderabad,https://www.shine.com/jobs/client-data-analyst-permanent/jpmorgan/12514714
Manager - Data Scientist,Gilbarco,2 to 5 ,1,Bangalore,https://www.shine.com/jobs/manager-data-scientist-permanent/gilbarco/12497471
Lead Software Engineer- Data,JPMorgan,4 to 9 ,1,Bangalore,https://www.shine.com/jobs/lead-software-engineer-data-permanent/jpmorgan/12514177
Instrument Reference Data Analyst - Team Leader analyst,JPMorgan,4 to 5 ,1,Mumbai City,https://www.shine.com/jobs/instrument-reference-data-analyst-team-leader-analyst-permanent/jpmorgan/12512633
Req.  for Data Scientist-Reputed Data Analytics Industr ...,Seven Consultancy,2 to 7 ,1,Hyderabad,https://www.shine.com/jobs/req-jobs-for-data-scientist-reputed-data-analytics-industry-permanent/seven-consultancy/12494271
