Job Title,Company Name,Exp,Number of opening,Location,Link,Job Category
Python Developer,Tejas Systems,1,1,Bangalore,https://www.shine.com/jobs/python-developer-permanent/tejas-systems/12511431,Python Developer
Client Engineering- Data Scientist,IBM India Pvt. Limited,3,1,Mumbai City,https://www.shine.com/jobs/client-engineering-data-scientist-permanent/ibm-india-pvt-limited/12513441,Data Scientist
Senior Azure Data Engineer,VEGA Intellisoft Private Limited,7,1,"Bangalore+2Chennai, Hyderabad",https://www.shine.com/jobs/senior-azure-data-engineer-permanent/vega-intellisoft-private-limited/12516311,Data Engineer
Legal Data Engineer,Citibank India.,2,1,Mumbai City,https://www.shine.com/jobs/legal-data-engineer-permanent/citibank-india/12515520,Data Engineer
Needy plz join for Senior Consultant/Manager - Data Sci ...,Pylon Management Consulting,6,1,Bangalore,https://www.shine.com/jobs/needy-plz-join-for-senior-consultantmanager-data-scientist-permanent/pylon-management-consulting/12511856,Other
Data Scientist,Citibank India.,3,1,Hyderabad,https://www.shine.com/jobs/data-scientist-permanent/citibank-india/12501076,Data Scientist
Recruiting for GCP Data Scientist - Manager,PricewaterhouseCoopers (PWC),8,1,Bangalore,https://www.shine.com/jobs/recruiting-for-gcp-data-scientist-manager-permanent/pricewaterhousecoopers-pwc/12502368,Data Scientist
Python Developer,Evon Technologies,5,1,Dehradun,https://www.shine.com/jobs/python-developer-permanent/evon-technologies/12511866,Python Developer
Data Analyst - IT (4-6 yrs),ARA Resources Pvt Ltd,4,1,Delhi,https://www.shine.com/jobs/data-analyst-it-4-6-yrs-permanent/ara-resources-pvt-ltd/12518225,Data Analyst
Data Engineer - ETL/Python/Big Data,Huquo,3,1,Bangalore+1Chennai,https://www.shine.com/jobs/data-engineer-etlpythonbig-data-permanent/huquo/12502049,Data Engineer
Data Analyst,Ara Resources Private Limited,4,1,Delhi,https://www.shine.com/jobs/data-analyst-permanent/ara-resources-private-limited/12502213,Data Analyst
Lead Data Analyst - MNC - Mumbai,PES HR Services,1,5,Kolkata+1Mumbai City,https://www.shine.com/jobs/lead-data-analyst-mnc-mumbai-permanent/pes-hr-services/12505935,Data Analyst
Sr. Data Analyst - MNC - Mumbai,PES HR Services,4,5,Kolkata+1Mumbai City,https://www.shine.com/jobs/sr-data-analyst-mnc-mumbai-permanent/pes-hr-services/12505933,Data Analyst
Data Engineer - Python/Scala,Huquo,4,1,Kolkata,https://www.shine.com/jobs/data-engineer-pythonscala-permanent/huquo/12498725,Data Engineer
Huge Opportunity for Data Analyst I,Ranhill WorleyParsons,2,1,Navi Mumbai+1Mumbai City,https://www.shine.com/jobs/huge-opportunity-for-data-analyst-i-permanent/ranhill-worleyparsons/12510973,Data Analyst
Global Accounts Receivable Data Analytics (GARDA),Amazon,2,1,Hyderabad,https://www.shine.com/jobs/global-accounts-receivable-data-analytics-garda-permanent/amazon/12515440,Data Analyst
Data Engineer/Senior Data Engineer/Data Scientist,Acuity Knowledge Partners,2,1,Bangalore,https://www.shine.com/jobs/data-engineersenior-data-engineerdata-scientist-permanent/acuity-knowledge-partners/12470005,Data Scientist
Data Analyst,Diverse Lynx,5,1,Bangalore,https://www.shine.com/jobs/data-analyst-permanent/diverse-lynx/12517061,Data Analyst
Data Engineer Python- PySpark & pandas,TeamPlus Staffing Solution Pvt.ltd.,3,1,Hyderabad+1Gurugram,https://www.shine.com/jobs/data-engineer-python-pyspark-pandas-permanent/teamplus-staffing-solution-pvtltd/12502783,Data Engineer
Python Developer,Quastech.,2,2,Mumbai City,https://www.shine.com/jobs/python-developer-permanent/quastech/12514909,Python Developer
Data Engineer I - AWS,JPMorgan,2,1,Bangalore,https://www.shine.com/jobs/data-engineer-i-aws-permanent/jpmorgan/12512830,Data Engineer
Galytix Analytics - Data Analyst,Galytix Analytics Pvt. Ltd.,1,1,Gurugram,https://www.shine.com/jobs/galytix-analytics-data-analyst-permanent/galytix-analytics-pvt-ltd/12515628,Data Analyst
Data Analyst,Target Corporation India Pvt Ltd,2,1,Chennai,https://www.shine.com/jobs/data-analyst-permanent/target-corporation-india-pvt-ltd/12507723,Data Analyst
"Assistant Vice President, Kubernetes Data Engineer, Ent ...",DBS Asia Hub 2,3,1,Hyderabad,https://www.shine.com/jobs/assistant-vice-president-kubernetes-data-engineer-enterprise-data-permanent/dbs-asia-hub-2/12517336,Data Engineer
 for Data Scientist-Reputed Artificial Intelligence,Seven Consultancy,3,1,Hyderabad,https://www.shine.com/jobs/jobs-for-data-scientist-reputed-artificial-intelligence-permanent/seven-consultancy/12493998,Data Scientist
Data Analyst  In Singapore-Overseas Only,Cloud Visa Immigration LLP,2,70,Singapore,https://www.shine.com/jobs/data-analyst-job-in-singapore-overseas-only-permanent/cloud-visa-immigration-llp/12506322,Data Analyst
